annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_return,objective,variable_weight,delta,stop_loss_n
0.08481203036356577,0.06431161891829222,1.2658168064909636,0.048011107367293186,0.1768171412215218,sharpe,False,0.0,
0.07554166654459915,0.06844457924538112,1.0639909154992702,0.051322389523383756,0.1567898764735336,sharpe,False,0.001,
0.07047847563395493,0.07062054182237562,0.9643896839891543,0.05281055649692134,0.14592416679559594,sharpe,False,0.0015,
0.0650946214338346,0.07295312328243561,0.8644405995803178,0.054176883578996526,0.13442655260728364,sharpe,False,0.002,
0.05935885315690359,0.0755372735931111,0.7633829878920662,0.05608171416477491,0.12224117976191007,sharpe,False,0.0025,
0.04096756112995781,0.02905637628243742,1.3818181420348739,0.02153006371886829,0.08361346332485242,sharpe,True,0.0,
0.03658231900917497,0.03062883026684107,1.1730474066404248,0.02303908005693927,0.07450290408243898,sharpe,True,0.001,
0.034185093191941185,0.0313274667251506,1.0729806950803888,0.023672715580028807,0.06953880698042414,sharpe,True,0.0015,
0.031687601734225135,0.03214314088814937,0.970530846494055,0.02436072446275033,0.06437930757211707,sharpe,True,0.002,
0.0284751198419968,0.032852168094464264,0.854654067735373,0.024742545869089028,0.057761072134009606,sharpe,True,0.0025,
0.03999237202090544,0.12553181615043227,0.3123780068959408,0.11378664275687998,0.08158413386166918,sterling,False,0.0,
0.027723813340442938,0.1244235096638169,0.2197853680907175,0.11559442382863545,0.05621623650702179,sterling,False,0.001,
0.02165974197575471,0.12388825573590197,0.17296637790280084,0.11699553743621724,0.04378862837396569,sterling,False,0.0015,
0.01564243803600296,0.12336714401800376,0.12581434279476778,0.11881939131280898,0.03152956193971601,sterling,False,0.002,
0.00967112545457205,0.122859735742388,0.07833859814227025,0.1206405305347102,0.019435781576702116,sterling,False,0.0025,
0.01603378978841863,0.060793863814754726,0.2616482202463994,0.061347778872500605,0.03232466199181627,sterling,True,0.0,
0.01006936506688838,0.06034886742121676,0.16601814097091414,0.0632307739205886,0.02024012224662708,sterling,True,0.001,
0.007136974476895208,0.06011880581592796,0.11829288207508862,0.06412718555782888,0.014324885358473871,sterling,True,0.0015,
0.004261287101376521,0.05986385959202966,0.0710317302839935,0.06494985529146323,0.008540732770513593,sterling,True,0.002,
0.001391785874718332,0.05961646266429595,0.02332943244744215,0.06578167447472755,0.00278550881735784,sterling,True,0.0025,
0.0461237911886716,0.08095490931371625,0.5569977934533379,0.06498633367270554,0.09437498649095932,calmar,False,0.0,
0.032206873899806254,0.08513963480261098,0.3723190291905704,0.07350952135618533,0.06545103052601076,calmar,False,0.001,
0.025118050070390474,0.0871703695902328,0.28458955578277984,0.07791438078854929,0.05086701658011972,calmar,False,0.0015,
0.017848035925243977,0.0891378022293605,0.19846383302890022,0.0823482651238786,0.036014624236876625,calmar,False,0.002,
0.010298624262043088,0.09100970093939535,0.11258090766747353,0.08722767875369478,0.02070331018577698,calmar,False,0.0025,
0.019172626402523374,0.039838343002229,0.4767052572620337,0.035052302863446475,0.03871284240821771,calmar,True,0.0,
0.011725874875107012,0.04286408438009001,0.2719680056478462,0.040892631517438535,0.02358924589180056,calmar,True,0.001,
0.008143658123824338,0.04415207947425593,0.1836986518192844,0.044178213450652086,0.016353635415286227,calmar,True,0.0015,
0.004670866230866766,0.045248348451360956,0.10298699829305215,0.047357454648026445,0.009363549453080156,calmar,True,0.002,
0.0013830842682138744,0.04604893435752979,0.03001434685618106,0.05002980853942509,0.002768081458520699,calmar,True,0.0025,
